AvgSpotLen	BioSample	Experiment	Library_Name	Organism	Run	SRA_Sample	Sample_Name	Sex	age	anonymized_name	body_habitat	body_product	body_site	env_feature	env_material	env_package	host_subject_id	host_taxid	sample_source	sample_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Platform	ReleaseDate	SRA_Study	age_unit	collection_timestamp	dna_extracted	elevation	env_biome	geo_loc_name	has_physical_specimen	latitude	longitude	physical_specimen_location	physical_specimen_remaining	project_name	title
229	SAMEA103981014	ERX1998795	232.F10Space217	indoor metagenome	ERR1938262	ERS1670182	SAMEA103981014 ERS1670182	female	Missing: Not provided	F10Space217				research facility	anthropogenic environmental material	built environment	F1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
229	SAMEA103981015	ERX1998796	232.F11Space217	indoor metagenome	ERR1938263	ERS1670183	SAMEA103981015 ERS1670183	female	Missing: Not provided	F11Space217				research facility	anthropogenic environmental material	built environment	F1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
228	SAMEA103981016	ERX1998797	232.F12Space217	indoor metagenome	ERR1938264	ERS1670184	SAMEA103981016 ERS1670184	female	Missing: Not provided	F12Space217				research facility	anthropogenic environmental material	built environment	F1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
226	SAMEA103981017	ERX1998798	232.L1Space217	indoor metagenome	ERR1938265	ERS1670185	SAMEA103981017 ERS1670185	Missing: Not provided	Missing: Not provided	L1Space217				research facility	anthropogenic environmental material	built environment	L1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
228	SAMEA103981018	ERX1998799	232.L3Space217	indoor metagenome	ERR1938266	ERS1670186	SAMEA103981018 ERS1670186	Missing: Not provided	Missing: Not provided	L3Space217				research facility	anthropogenic environmental material	built environment	L3	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
234	SAMEA103981019	ERX1998800	232.M10Space217	indoor metagenome	ERR1938267	ERS1670187	SAMEA103981019 ERS1670187	male	Missing: Not provided	M10Space217				research facility	anthropogenic environmental material	built environment	M1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
232	SAMEA103981020	ERX1998801	232.M11Space217	indoor metagenome	ERR1938268	ERS1670188	SAMEA103981020 ERS1670188	male	Missing: Not provided	M11Space217				research facility	anthropogenic environmental material	built environment	M1	36244	Space_bar	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
228	SAMEA103981021	ERX1998802	232.M2Akey217	indoor metagenome	ERR1938269	ERS1670189	SAMEA103981021 ERS1670189	male	Missing: Not provided	M2Akey217				research facility	anthropogenic environmental material	built environment	M2	36244	Akey	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
227	SAMEA103981022	ERX1998803	232.M2Bkey217	indoor metagenome	ERR1938270	ERS1670190	SAMEA103981022 ERS1670190	male	Missing: Not provided	M2Bkey217				research facility	anthropogenic environmental material	built environment	M2	36244	Bkey	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
230	SAMEA103981023	ERX1998804	232.M2Ckey217	indoor metagenome	ERR1938271	ERS1670191	SAMEA103981023 ERS1670191	male	Missing: Not provided	M2Ckey217				research facility	anthropogenic environmental material	built environment	M2	36244	Ckey	surface	OTHER	PRJEB20471	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-20	ERP022626	years	2008-07-15	TRUE	1624	urban biome	USA:CO:Boulder	TRUE	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_keyboard	Forensic_identification_using_skin_bacterial_communities
